Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,3,6,4
2014,7,0,7,4
2014,8,0,8,4
2014,9,1,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,1,14,6
2014,15,1,15,7
2014,16,0,16,7
2014,17,0,17,7
2014,18,0,18,7
2014,19,0,19,7
2014,20,1,20,8
2014,21,1,21,9
2014,22,0,22,9
2014,23,1,23,10
2014,24,0,24,10
2014,25,1,25,11
2014,26,0,26,11
2014,27,0,27,11
2014,28,1,28,12
2014,29,0,29,12
2014,30,0,30,12
2014,31,0,31,12
2014,32,0,32,12
2014,33,5,33,17
2014,34,1,34,18
2014,35,0,35,18
2014,36,1,36,19
2014,37,0,37,19
2014,38,3,38,22
2014,39,6,39,28
2014,40,11,40,39
2014,41,0,41,39
2014,42,0,42,39
2014,43,5,43,44
2014,44,0,44,44
2014,45,1,45,45
2014,46,2,46,47
2014,47,4,47,51
2014,48,0,48,51
2014,49,3,49,54
2014,50,3,50,57
2014,51,1,51,58
2014,52,0,52,58
2014,53,0,53,58
2015,1,0,54,58
2015,2,0,55,58
2015,3,0,56,58
2015,4,2,57,60
2015,5,2,58,62
2015,6,2,59,64
2015,7,1,60,65
2015,8,3,61,68
2015,9,2,62,70
2015,10,1,63,71
2015,11,0,64,71
2015,12,1,65,72
2015,13,3,66,75
2015,14,3,67,78
2015,15,0,68,78
2015,16,0,69,78
2015,17,1,70,79
2015,18,1,71,80
2015,19,0,72,80
2015,20,2,73,82
2015,21,4,74,86
2015,22,1,75,87
2015,23,0,76,87
2015,24,0,77,87
2015,25,1,78,88
2015,26,0,79,88
2015,27,1,80,89
2015,28,0,81,89
2015,29,0,82,89
2015,30,2,83,91
2015,31,0,84,91
2015,32,3,85,94
2015,33,1,86,95
2015,34,1,87,96
2015,35,2,88,98
2015,36,0,89,98
2015,37,8,90,106
2015,38,21,91,127
2015,39,1,92,128
2015,40,6,93,134
2015,41,5,94,139
2015,42,2,95,141
2015,43,2,96,143
2015,44,2,97,145
2015,45,1,98,146
2015,46,1,99,147
2015,47,0,100,147
2015,48,2,101,149
2015,49,0,102,149
2015,50,0,103,149
2015,51,0,104,149
2015,52,0,105,149
2016,1,0,106,149
2016,2,1,107,150
2016,3,0,108,150
2016,4,4,109,154
2016,5,1,110,155
2016,6,2,111,157
2016,7,1,112,158
2016,8,2,113,160
2016,9,2,114,162
2016,10,0,115,162
2016,11,1,116,163
2016,12,0,117,163
2016,13,1,118,164
2016,14,0,119,164
2016,15,1,120,165
2016,16,3,121,168
2016,17,0,122,168
2016,18,1,123,169
2016,19,1,124,170
2016,20,0,125,170
2016,21,1,126,171
2016,22,0,127,171
2016,23,0,128,171
2016,24,1,129,172
2016,25,3,130,175
2016,26,1,131,176
2016,27,0,132,176
2016,28,1,133,177
2016,29,2,134,179
2016,30,0,135,179
2016,31,1,136,180
2016,32,0,137,180
2016,33,1,138,181
2016,34,0,139,181
2016,35,3,140,184
2016,36,0,141,184
2016,37,1,142,185
2016,38,5,143,190
2016,39,0,144,190
2016,40,0,145,190
2016,41,0,146,190
2016,42,1,147,191
2016,43,2,148,193
2016,44,0,149,193
2016,45,0,150,193
2016,46,2,151,195
2016,47,0,152,195
2016,48,1,153,196
2016,49,0,154,196
2016,50,2,155,198
2016,51,0,156,198
2016,52,1,157,199
2017,1,0,158,199
2017,2,1,159,200
2017,3,0,160,200
2017,4,0,161,200
2017,5,1,162,201
2017,6,1,163,202
2017,7,0,164,202
2017,8,3,165,205
2017,9,0,166,205
2017,10,3,167,208
2017,11,0,168,208
2017,12,0,169,208
2017,13,1,170,209
2017,14,0,171,209
2017,15,1,172,210
