Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,4,2,5
2014,3,20,3,25
2014,4,7,4,32
2014,5,0,5,32
2014,6,1,6,33
2014,7,6,7,39
2014,8,7,8,46
2014,9,3,9,49
2014,10,7,10,56
2014,11,11,11,67
2014,12,0,12,67
2014,13,7,13,74
2014,14,2,14,76
2014,15,14,15,90
2014,16,2,16,92
2014,17,27,17,119
2014,18,15,18,134
2014,19,2,19,136
2014,20,0,20,136
2014,21,0,21,136
2014,22,0,22,136
2014,23,0,23,136
2014,24,0,24,136
2014,25,0,25,136
2014,26,0,26,136
2014,27,0,27,136
2014,28,4,28,140
2014,29,3,29,143
2014,30,9,30,152
2014,31,3,31,155
2014,32,8,32,163
2014,33,4,33,167
2014,34,0,34,167
2014,35,9,35,176
2014,36,1,36,177
2014,37,11,37,188
2014,38,5,38,193
2014,39,7,39,200
2014,40,9,40,209
2014,41,3,41,212
2014,42,1,42,213
2014,43,17,43,230
2014,44,27,44,257
2014,45,11,45,268
2014,46,19,46,287
2014,47,3,47,290
2014,48,3,48,293
2014,49,0,49,293
2014,50,6,50,299
2014,51,3,51,302
2014,52,5,52,307
2014,53,2,53,309
2015,1,7,54,316
2015,2,0,55,316
2015,3,13,56,329
2015,4,2,57,331
2015,5,6,58,337
2015,6,6,59,343
2015,7,8,60,351
2015,8,0,61,351
2015,9,0,62,351
2015,10,2,63,353
2015,11,7,64,360
2015,12,4,65,364
2015,13,6,66,370
2015,14,7,67,377
2015,15,8,68,385
2015,16,10,69,395
2015,17,9,70,404
2015,18,0,71,404
2015,19,0,72,404
2015,20,0,73,404
2015,21,0,74,404
2015,22,0,75,404
2015,23,0,76,404
2015,24,0,77,404
2015,25,0,78,404
2015,26,0,79,404
2015,27,0,80,404
2015,28,0,81,404
2015,29,0,82,404
2015,30,0,83,404
2015,31,0,84,404
2015,32,0,85,404
2015,33,0,86,404
2015,34,0,87,404
2015,35,0,88,404
2015,36,0,89,404
2015,37,0,90,404
2015,38,0,91,404
2015,39,0,92,404
2015,40,0,93,404
2015,41,0,94,404
2015,42,0,95,404
2015,43,0,96,404
2015,44,0,97,404
2015,45,0,98,404
2015,46,0,99,404
2015,47,0,100,404
2015,48,0,101,404
2015,49,0,102,404
2015,50,0,103,404
2015,51,0,104,404
2015,52,0,105,404
2016,1,0,106,404
2016,2,0,107,404
2016,3,0,108,404
2016,4,0,109,404
2016,5,0,110,404
2016,6,0,111,404
2016,7,0,112,404
2016,8,0,113,404
2016,9,0,114,404
2016,10,0,115,404
2016,11,10,116,414
2016,12,10,117,424
2016,13,0,118,424
2016,14,0,119,424
2016,15,0,120,424
2016,16,11,121,435
2016,17,9,122,444
2016,18,0,123,444
2016,19,0,124,444
2016,20,0,125,444
2016,21,0,126,444
2016,22,0,127,444
2016,23,0,128,444
2016,24,0,129,444
2016,25,0,130,444
2016,26,0,131,444
2016,27,0,132,444
2016,28,0,133,444
2016,29,0,134,444
2016,30,0,135,444
2016,31,0,136,444
2016,32,0,137,444
2016,33,0,138,444
2016,34,3,139,447
2016,35,0,140,447
2016,36,3,141,450
2016,37,3,142,453
2016,38,6,143,459
2016,39,9,144,468
2016,40,0,145,468
2016,41,0,146,468
2016,42,0,147,468
2016,43,0,148,468
2016,44,0,149,468
2016,45,0,150,468
2016,46,0,151,468
2016,47,0,152,468
2016,48,0,153,468
2016,49,18,154,486
2016,50,0,155,486
2016,51,10,156,496
2016,52,2,157,498
2017,1,0,158,498
2017,2,0,159,498
2017,3,12,160,510
2017,4,0,161,510
2017,5,13,162,523
2017,6,1,163,524
2017,7,0,164,524
2017,8,6,165,530
2017,9,5,166,535
2017,10,0,167,535
2017,11,8,168,543
2017,12,0,169,543
2017,13,0,170,543
2017,14,6,171,549
2017,15,0,172,549
