Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,1,2,1
2014,3,0,3,1
2014,4,0,4,1
2014,5,1,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,2,8,4
2014,9,0,9,4
2014,10,2,10,6
2014,11,0,11,6
2014,12,0,12,6
2014,13,0,13,6
2014,14,0,14,6
2014,15,0,15,6
2014,16,0,16,6
2014,17,0,17,6
2014,18,0,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,1,21,7
2014,22,0,22,7
2014,23,1,23,8
2014,24,0,24,8
2014,25,1,25,9
2014,26,1,26,10
2014,27,0,27,10
2014,28,0,28,10
2014,29,0,29,10
2014,30,1,30,11
2014,31,0,31,11
2014,32,0,32,11
2014,33,0,33,11
2014,34,0,34,11
2014,35,3,35,14
2014,36,0,36,14
2014,37,1,37,15
2014,38,3,38,18
2014,39,0,39,18
2014,40,0,40,18
2014,41,0,41,18
2014,42,0,42,18
2014,43,0,43,18
2014,44,0,44,18
2014,45,0,45,18
2014,46,0,46,18
2014,47,0,47,18
2014,48,2,48,20
2014,49,0,49,20
2014,50,1,50,21
2014,51,0,51,21
2014,52,0,52,21
2014,53,0,53,21
2015,1,3,54,24
2015,2,0,55,24
2015,3,0,56,24
2015,4,0,57,24
2015,5,1,58,25
2015,6,0,59,25
2015,7,3,60,28
2015,8,2,61,30
2015,9,0,62,30
2015,10,1,63,31
2015,11,1,64,32
2015,12,0,65,32
2015,13,0,66,32
2015,14,0,67,32
2015,15,1,68,33
2015,16,2,69,35
2015,17,0,70,35
2015,18,1,71,36
2015,19,2,72,38
2015,20,0,73,38
2015,21,0,74,38
2015,22,0,75,38
2015,23,0,76,38
2015,24,3,77,41
2015,25,0,78,41
2015,26,0,79,41
2015,27,0,80,41
2015,28,0,81,41
2015,29,0,82,41
2015,30,0,83,41
2015,31,0,84,41
2015,32,1,85,42
2015,33,0,86,42
2015,34,0,87,42
2015,35,0,88,42
2015,36,2,89,44
2015,37,1,90,45
2015,38,1,91,46
2015,39,0,92,46
2015,40,0,93,46
2015,41,3,94,49
2015,42,0,95,49
2015,43,0,96,49
2015,44,0,97,49
2015,45,0,98,49
2015,46,0,99,49
2015,47,0,100,49
2015,48,1,101,50
2015,49,0,102,50
2015,50,0,103,50
2015,51,0,104,50
2015,52,0,105,50
2016,1,0,106,50
2016,2,1,107,51
2016,3,0,108,51
2016,4,1,109,52
2016,5,1,110,53
2016,6,0,111,53
2016,7,0,112,53
2016,8,0,113,53
2016,9,2,114,55
2016,10,1,115,56
2016,11,1,116,57
2016,12,0,117,57
2016,13,2,118,59
2016,14,3,119,62
2016,15,1,120,63
2016,16,0,121,63
2016,17,1,122,64
2016,18,0,123,64
2016,19,0,124,64
2016,20,0,125,64
2016,21,0,126,64
2016,22,0,127,64
2016,23,2,128,66
2016,24,0,129,66
2016,25,0,130,66
2016,26,0,131,66
2016,27,0,132,66
2016,28,0,133,66
2016,29,0,134,66
2016,30,0,135,66
2016,31,0,136,66
2016,32,0,137,66
2016,33,0,138,66
2016,34,0,139,66
2016,35,0,140,66
2016,36,0,141,66
2016,37,0,142,66
2016,38,0,143,66
2016,39,0,144,66
2016,40,0,145,66
2016,41,0,146,66
2016,42,0,147,66
2016,43,0,148,66
2016,44,0,149,66
2016,45,0,150,66
2016,46,0,151,66
2016,47,0,152,66
2016,48,0,153,66
2016,49,0,154,66
2016,50,1,155,67
2016,51,0,156,67
2016,52,0,157,67
2017,1,0,158,67
2017,2,0,159,67
2017,3,1,160,68
2017,4,0,161,68
2017,5,2,162,70
2017,6,1,163,71
2017,7,1,164,72
2017,8,0,165,72
2017,9,0,166,72
2017,10,0,167,72
2017,11,0,168,72
2017,12,0,169,72
2017,13,1,170,73
2017,14,1,171,74
2017,15,0,172,74
