Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,1,1,1
2014,2,0,2,1
2014,3,0,3,1
2014,4,4,4,5
2014,5,1,5,6
2014,6,0,6,6
2014,7,2,7,8
2014,8,4,8,12
2014,9,0,9,12
2014,10,0,10,12
2014,11,0,11,12
2014,12,2,12,14
2014,13,0,13,14
2014,14,1,14,15
2014,15,5,15,20
2014,16,8,16,28
2014,17,3,17,31
2014,18,6,18,37
2014,19,3,19,40
2014,20,5,20,45
2014,21,1,21,46
2014,22,9,22,55
2014,23,4,23,59
2014,24,1,24,60
2014,25,1,25,61
2014,26,3,26,64
2014,27,0,27,64
2014,28,0,28,64
2014,29,3,29,67
2014,30,1,30,68
2014,31,0,31,68
2014,32,0,32,68
2014,33,0,33,68
2014,34,1,34,69
2014,35,2,35,71
2014,36,1,36,72
2014,37,1,37,73
2014,38,1,38,74
2014,39,2,39,76
2014,40,1,40,77
2014,41,0,41,77
2014,42,0,42,77
2014,43,4,43,81
2014,44,2,44,83
2014,45,4,45,87
2014,46,1,46,88
2014,47,0,47,88
2014,48,1,48,89
2014,49,3,49,92
2014,50,0,50,92
2014,51,1,51,93
2014,52,0,52,93
2014,53,0,53,93
2015,1,4,54,97
2015,2,0,55,97
2015,3,0,56,97
2015,4,1,57,98
2015,5,0,58,98
2015,6,0,59,98
2015,7,1,60,99
2015,8,0,61,99
2015,9,0,62,99
2015,10,0,63,99
2015,11,1,64,100
2015,12,2,65,102
2015,13,0,66,102
2015,14,0,67,102
2015,15,0,68,102
2015,16,4,69,106
2015,17,2,70,108
2015,18,0,71,108
2015,19,0,72,108
2015,20,2,73,110
2015,21,5,74,115
2015,22,0,75,115
2015,23,1,76,116
2015,24,1,77,117
2015,25,0,78,117
2015,26,0,79,117
2015,27,0,80,117
2015,28,2,81,119
2015,29,0,82,119
2015,30,0,83,119
2015,31,0,84,119
2015,32,0,85,119
2015,33,1,86,120
2015,34,0,87,120
2015,35,0,88,120
2015,36,1,89,121
2015,37,0,90,121
2015,38,2,91,123
2015,39,4,92,127
2015,40,2,93,129
2015,41,0,94,129
2015,42,0,95,129
2015,43,0,96,129
2015,44,0,97,129
2015,45,1,98,130
2015,46,2,99,132
2015,47,2,100,134
2015,48,0,101,134
2015,49,1,102,135
2015,50,0,103,135
2015,51,0,104,135
2015,52,0,105,135
2016,1,2,106,137
2016,2,3,107,140
2016,3,3,108,143
2016,4,2,109,145
2016,5,5,110,150
2016,6,2,111,152
2016,7,0,112,152
2016,8,2,113,154
2016,9,1,114,155
2016,10,2,115,157
2016,11,2,116,159
2016,12,2,117,161
2016,13,0,118,161
2016,14,1,119,162
2016,15,0,120,162
2016,16,0,121,162
2016,17,0,122,162
2016,18,0,123,162
2016,19,4,124,166
2016,20,2,125,168
2016,21,2,126,170
2016,22,1,127,171
2016,23,2,128,173
2016,24,0,129,173
2016,25,3,130,176
2016,26,0,131,176
2016,27,0,132,176
2016,28,0,133,176
2016,29,0,134,176
2016,30,0,135,176
2016,31,1,136,177
2016,32,1,137,178
2016,33,0,138,178
2016,34,6,139,184
2016,35,0,140,184
2016,36,1,141,185
2016,37,1,142,186
2016,38,0,143,186
2016,39,1,144,187
2016,40,2,145,189
2016,41,0,146,189
2016,42,0,147,189
2016,43,2,148,191
2016,44,0,149,191
2016,45,0,150,191
2016,46,0,151,191
2016,47,0,152,191
2016,48,2,153,193
2016,49,1,154,194
2016,50,1,155,195
2016,51,0,156,195
2016,52,1,157,196
2017,1,0,158,196
2017,2,0,159,196
2017,3,0,160,196
2017,4,0,161,196
2017,5,0,162,196
2017,6,2,163,198
2017,7,3,164,201
2017,8,2,165,203
2017,9,1,166,204
2017,10,1,167,205
2017,11,5,168,210
2017,12,4,169,214
2017,13,1,170,215
2017,14,0,171,215
2017,15,1,172,216
