Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,0,4,0
2014,5,0,5,0
2014,6,0,6,0
2014,7,0,7,0
2014,8,0,8,0
2014,9,0,9,0
2014,10,0,10,0
2014,11,0,11,0
2014,12,0,12,0
2014,13,0,13,0
2014,14,0,14,0
2014,15,0,15,0
2014,16,0,16,0
2014,17,0,17,0
2014,18,2,18,2
2014,19,0,19,2
2014,20,1,20,3
2014,21,0,21,3
2014,22,0,22,3
2014,23,0,23,3
2014,24,0,24,3
2014,25,0,25,3
2014,26,0,26,3
2014,27,0,27,3
2014,28,0,28,3
2014,29,0,29,3
2014,30,0,30,3
2014,31,0,31,3
2014,32,0,32,3
2014,33,1,33,4
2014,34,0,34,4
2014,35,0,35,4
2014,36,0,36,4
2014,37,0,37,4
2014,38,0,38,4
2014,39,0,39,4
2014,40,0,40,4
2014,41,0,41,4
2014,42,0,42,4
2014,43,0,43,4
2014,44,0,44,4
2014,45,0,45,4
2014,46,0,46,4
2014,47,0,47,4
2014,48,0,48,4
2014,49,0,49,4
2014,50,0,50,4
2014,51,0,51,4
2014,52,0,52,4
2014,53,0,53,4
2015,1,0,54,4
2015,2,0,55,4
2015,3,0,56,4
2015,4,0,57,4
2015,5,0,58,4
2015,6,0,59,4
2015,7,0,60,4
2015,8,0,61,4
2015,9,0,62,4
2015,10,0,63,4
2015,11,0,64,4
2015,12,0,65,4
2015,13,1,66,5
2015,14,0,67,5
2015,15,0,68,5
2015,16,0,69,5
2015,17,1,70,6
2015,18,3,71,9
2015,19,0,72,9
2015,20,2,73,11
2015,21,0,74,11
2015,22,0,75,11
2015,23,0,76,11
2015,24,0,77,11
2015,25,0,78,11
2015,26,2,79,13
2015,27,1,80,14
2015,28,0,81,14
2015,29,8,82,22
2015,30,0,83,22
2015,31,2,84,24
2015,32,0,85,24
2015,33,0,86,24
2015,34,0,87,24
2015,35,0,88,24
2015,36,1,89,25
2015,37,2,90,27
2015,38,0,91,27
2015,39,1,92,28
2015,40,0,93,28
2015,41,1,94,29
2015,42,0,95,29
2015,43,0,96,29
2015,44,0,97,29
2015,45,0,98,29
2015,46,0,99,29
2015,47,0,100,29
2015,48,0,101,29
2015,49,0,102,29
2015,50,2,103,31
2015,51,1,104,32
2015,52,0,105,32
2016,1,0,106,32
2016,2,0,107,32
2016,3,0,108,32
2016,4,0,109,32
2016,5,0,110,32
2016,6,1,111,33
2016,7,1,112,34
2016,8,3,113,37
2016,9,1,114,38
2016,10,0,115,38
2016,11,0,116,38
2016,12,0,117,38
2016,13,0,118,38
2016,14,2,119,40
2016,15,0,120,40
2016,16,2,121,42
2016,17,0,122,42
2016,18,0,123,42
2016,19,0,124,42
2016,20,0,125,42
2016,21,0,126,42
2016,22,0,127,42
2016,23,0,128,42
2016,24,0,129,42
2016,25,0,130,42
2016,26,0,131,42
2016,27,0,132,42
2016,28,0,133,42
2016,29,0,134,42
2016,30,0,135,42
2016,31,0,136,42
2016,32,0,137,42
2016,33,0,138,42
2016,34,0,139,42
2016,35,0,140,42
2016,36,0,141,42
2016,37,0,142,42
2016,38,0,143,42
2016,39,0,144,42
2016,40,0,145,42
2016,41,0,146,42
2016,42,0,147,42
2016,43,0,148,42
2016,44,0,149,42
2016,45,0,150,42
2016,46,0,151,42
2016,47,0,152,42
2016,48,0,153,42
2016,49,0,154,42
2016,50,0,155,42
2016,51,0,156,42
2016,52,0,157,42
2017,1,0,158,42
2017,2,0,159,42
2017,3,0,160,42
2017,4,0,161,42
2017,5,0,162,42
2017,6,0,163,42
2017,7,0,164,42
2017,8,0,165,42
2017,9,0,166,42
2017,10,0,167,42
2017,11,0,168,42
2017,12,0,169,42
2017,13,0,170,42
2017,14,0,171,42
2017,15,0,172,42
