Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,3,1,3
2014,2,3,2,6
2014,3,2,3,8
2014,4,5,4,13
2014,5,5,5,18
2014,6,0,6,18
2014,7,1,7,19
2014,8,2,8,21
2014,9,5,9,26
2014,10,4,10,30
2014,11,1,11,31
2014,12,0,12,31
2014,13,1,13,32
2014,14,1,14,33
2014,15,2,15,35
2014,16,1,16,36
2014,17,3,17,39
2014,18,3,18,42
2014,19,2,19,44
2014,20,2,20,46
2014,21,2,21,48
2014,22,2,22,50
2014,23,10,23,60
2014,24,4,24,64
2014,25,3,25,67
2014,26,2,26,69
2014,27,3,27,72
2014,28,2,28,74
2014,29,10,29,84
2014,30,1,30,85
2014,31,4,31,89
2014,32,1,32,90
2014,33,7,33,97
2014,34,7,34,104
2014,35,3,35,107
2014,36,4,36,111
2014,37,2,37,113
2014,38,4,38,117
2014,39,5,39,122
2014,40,11,40,133
2014,41,2,41,135
2014,42,4,42,139
2014,43,2,43,141
2014,44,3,44,144
2014,45,6,45,150
2014,46,3,46,153
2014,47,7,47,160
2014,48,4,48,164
2014,49,1,49,165
2014,50,7,50,172
2014,51,8,51,180
2014,52,2,52,182
2014,53,4,53,186
2015,1,3,54,189
2015,2,8,55,197
2015,3,5,56,202
2015,4,3,57,205
2015,5,3,58,208
2015,6,4,59,212
2015,7,2,60,214
2015,8,6,61,220
2015,9,6,62,226
2015,10,8,63,234
2015,11,3,64,237
2015,12,5,65,242
2015,13,0,66,242
2015,14,5,67,247
2015,15,3,68,250
2015,16,7,69,257
2015,17,3,70,260
2015,18,0,71,260
2015,19,1,72,261
2015,20,1,73,262
2015,21,0,74,262
2015,22,3,75,265
2015,23,4,76,269
2015,24,4,77,273
2015,25,6,78,279
2015,26,3,79,282
2015,27,4,80,286
2015,28,4,81,290
2015,29,3,82,293
2015,30,3,83,296
2015,31,5,84,301
2015,32,7,85,308
2015,33,5,86,313
2015,34,4,87,317
2015,35,4,88,321
2015,36,3,89,324
2015,37,8,90,332
2015,38,7,91,339
2015,39,1,92,340
2015,40,2,93,342
2015,41,4,94,346
2015,42,5,95,351
2015,43,6,96,357
2015,44,5,97,362
2015,45,0,98,362
2015,46,0,99,362
2015,47,0,100,362
2015,48,7,101,369
2015,49,6,102,375
2015,50,4,103,379
2015,51,2,104,381
2015,52,3,105,384
2016,1,4,106,388
2016,2,0,107,388
2016,3,3,108,391
2016,4,0,109,391
2016,5,3,110,394
2016,6,6,111,400
2016,7,1,112,401
2016,8,6,113,407
2016,9,3,114,410
2016,10,0,115,410
2016,11,2,116,412
2016,12,5,117,417
2016,13,6,118,423
2016,14,3,119,426
2016,15,5,120,431
2016,16,3,121,434
2016,17,5,122,439
2016,18,3,123,442
2016,19,4,124,446
2016,20,6,125,452
2016,21,4,126,456
2016,22,7,127,463
2016,23,6,128,469
2016,24,4,129,473
2016,25,3,130,476
2016,26,7,131,483
2016,27,1,132,484
2016,28,3,133,487
2016,29,1,134,488
2016,30,1,135,489
2016,31,6,136,495
2016,32,4,137,499
2016,33,1,138,500
2016,34,3,139,503
2016,35,3,140,506
2016,36,5,141,511
2016,37,5,142,516
2016,38,0,143,516
2016,39,3,144,519
2016,40,1,145,520
2016,41,2,146,522
2016,42,4,147,526
2016,43,5,148,531
2016,44,6,149,537
2016,45,4,150,541
2016,46,1,151,542
2016,47,1,152,543
2016,48,8,153,551
2016,49,5,154,556
2016,50,2,155,558
2016,51,2,156,560
2016,52,1,157,561
2017,1,2,158,563
2017,2,1,159,564
2017,3,6,160,570
2017,4,3,161,573
2017,5,2,162,575
2017,6,2,163,577
2017,7,2,164,579
2017,8,6,165,585
2017,9,3,166,588
2017,10,0,167,588
2017,11,4,168,592
2017,12,4,169,596
2017,13,0,170,596
2017,14,1,171,597
2017,15,0,172,597
