Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,8,3,10
2014,4,8,4,18
2014,5,0,5,18
2014,6,7,6,25
2014,7,2,7,27
2014,8,0,8,27
2014,9,0,9,27
2014,10,0,10,27
2014,11,4,11,31
2014,12,0,12,31
2014,13,11,13,42
2014,14,6,14,48
2014,15,1,15,49
2014,16,5,16,54
2014,17,13,17,67
2014,18,8,18,75
2014,19,8,19,83
2014,20,5,20,88
2014,21,5,21,93
2014,22,6,22,99
2014,23,5,23,104
2014,24,11,24,115
2014,25,4,25,119
2014,26,1,26,120
2014,27,2,27,122
2014,28,4,28,126
2014,29,2,29,128
2014,30,0,30,128
2014,31,3,31,131
2014,32,0,32,131
2014,33,2,33,133
2014,34,0,34,133
2014,35,3,35,136
2014,36,0,36,136
2014,37,4,37,140
2014,38,6,38,146
2014,39,7,39,153
2014,40,9,40,162
2014,41,19,41,181
2014,42,3,42,184
2014,43,5,43,189
2014,44,8,44,197
2014,45,6,45,203
2014,46,6,46,209
2014,47,11,47,220
2014,48,4,48,224
2014,49,7,49,231
2014,50,0,50,231
2014,51,2,51,233
2014,52,2,52,235
2014,53,1,53,236
2015,1,4,54,240
2015,2,4,55,244
2015,3,1,56,245
2015,4,0,57,245
2015,5,2,58,247
2015,6,4,59,251
2015,7,3,60,254
2015,8,0,61,254
2015,9,0,62,254
2015,10,0,63,254
2015,11,4,64,258
2015,12,8,65,266
2015,13,2,66,268
2015,14,1,67,269
2015,15,2,68,271
2015,16,0,69,271
2015,17,0,70,271
2015,18,0,71,271
2015,19,9,72,280
2015,20,4,73,284
2015,21,10,74,294
2015,22,8,75,302
2015,23,3,76,305
2015,24,3,77,308
2015,25,1,78,309
2015,26,1,79,310
2015,27,0,80,310
2015,28,2,81,312
2015,29,7,82,319
2015,30,1,83,320
2015,31,0,84,320
2015,32,0,85,320
2015,33,0,86,320
2015,34,2,87,322
2015,35,0,88,322
2015,36,2,89,324
2015,37,3,90,327
2015,38,6,91,333
2015,39,3,92,336
2015,40,4,93,340
2015,41,4,94,344
2015,42,5,95,349
2015,43,8,96,357
2015,44,13,97,370
2015,45,9,98,379
2015,46,9,99,388
2015,47,4,100,392
2015,48,4,101,396
2015,49,8,102,404
2015,50,4,103,408
2015,51,5,104,413
2015,52,1,105,414
2016,1,13,106,427
2016,2,12,107,439
2016,3,4,108,443
2016,4,6,109,449
2016,5,6,110,455
2016,6,5,111,460
2016,7,0,112,460
2016,8,2,113,462
2016,9,6,114,468
2016,10,0,115,468
2016,11,3,116,471
2016,12,6,117,477
2016,13,6,118,483
2016,14,4,119,487
2016,15,9,120,496
2016,16,2,121,498
2016,17,5,122,503
2016,18,2,123,505
2016,19,0,124,505
2016,20,0,125,505
2016,21,0,126,505
2016,22,8,127,513
2016,23,5,128,518
2016,24,2,129,520
2016,25,0,130,520
2016,26,0,131,520
2016,27,0,132,520
2016,28,0,133,520
2016,29,0,134,520
2016,30,0,135,520
2016,31,0,136,520
2016,32,0,137,520
2016,33,0,138,520
2016,34,0,139,520
2016,35,0,140,520
2016,36,0,141,520
2016,37,0,142,520
2016,38,0,143,520
2016,39,0,144,520
2016,40,0,145,520
2016,41,6,146,526
2016,42,4,147,530
2016,43,5,148,535
2016,44,4,149,539
2016,45,5,150,544
2016,46,7,151,551
2016,47,2,152,553
2016,48,0,153,553
2016,49,1,154,554
2016,50,2,155,556
2016,51,0,156,556
2016,52,0,157,556
2017,1,2,158,558
2017,2,6,159,564
2017,3,4,160,568
2017,4,1,161,569
2017,5,2,162,571
2017,6,2,163,573
2017,7,0,164,573
2017,8,2,165,575
2017,9,3,166,578
2017,10,1,167,579
2017,11,0,168,579
2017,12,0,169,579
2017,13,2,170,581
2017,14,1,171,582
2017,15,6,172,588
