Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,1,4,1
2014,5,0,5,1
2014,6,0,6,1
2014,7,0,7,1
2014,8,0,8,1
2014,9,0,9,1
2014,10,0,10,1
2014,11,0,11,1
2014,12,0,12,1
2014,13,0,13,1
2014,14,0,14,1
2014,15,0,15,1
2014,16,0,16,1
2014,17,0,17,1
2014,18,0,18,1
2014,19,0,19,1
2014,20,0,20,1
2014,21,0,21,1
2014,22,0,22,1
2014,23,0,23,1
2014,24,0,24,1
2014,25,0,25,1
2014,26,0,26,1
2014,27,0,27,1
2014,28,0,28,1
2014,29,0,29,1
2014,30,0,30,1
2014,31,0,31,1
2014,32,0,32,1
2014,33,1,33,2
2014,34,0,34,2
2014,35,0,35,2
2014,36,0,36,2
2014,37,0,37,2
2014,38,0,38,2
2014,39,0,39,2
2014,40,1,40,3
2014,41,0,41,3
2014,42,0,42,3
2014,43,0,43,3
2014,44,1,44,4
2014,45,0,45,4
2014,46,1,46,5
2014,47,0,47,5
2014,48,0,48,5
2014,49,0,49,5
2014,50,0,50,5
2014,51,0,51,5
2014,52,0,52,5
2014,53,0,53,5
2015,1,1,54,6
2015,2,1,55,7
2015,3,0,56,7
2015,4,0,57,7
2015,5,0,58,7
2015,6,0,59,7
2015,7,0,60,7
2015,8,0,61,7
2015,9,0,62,7
2015,10,0,63,7
2015,11,0,64,7
2015,12,0,65,7
2015,13,0,66,7
2015,14,1,67,8
2015,15,0,68,8
2015,16,0,69,8
2015,17,1,70,9
2015,18,0,71,9
2015,19,0,72,9
2015,20,0,73,9
2015,21,1,74,10
2015,22,0,75,10
2015,23,2,76,12
2015,24,0,77,12
2015,25,0,78,12
2015,26,0,79,12
2015,27,1,80,13
2015,28,0,81,13
2015,29,0,82,13
2015,30,0,83,13
2015,31,0,84,13
2015,32,0,85,13
2015,33,0,86,13
2015,34,0,87,13
2015,35,1,88,14
2015,36,0,89,14
2015,37,0,90,14
2015,38,0,91,14
2015,39,0,92,14
2015,40,0,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,0,102,14
2015,50,0,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,1,107,15
2016,3,1,108,16
2016,4,1,109,17
2016,5,0,110,17
2016,6,1,111,18
2016,7,1,112,19
2016,8,0,113,19
2016,9,0,114,19
2016,10,0,115,19
2016,11,0,116,19
2016,12,1,117,20
2016,13,1,118,21
2016,14,1,119,22
2016,15,1,120,23
2016,16,0,121,23
2016,17,0,122,23
2016,18,1,123,24
2016,19,0,124,24
2016,20,0,125,24
2016,21,0,126,24
2016,22,0,127,24
2016,23,1,128,25
2016,24,1,129,26
2016,25,1,130,27
2016,26,0,131,27
2016,27,1,132,28
2016,28,0,133,28
2016,29,0,134,28
2016,30,0,135,28
2016,31,0,136,28
2016,32,0,137,28
2016,33,2,138,30
2016,34,1,139,31
2016,35,0,140,31
2016,36,0,141,31
2016,37,1,142,32
2016,38,0,143,32
2016,39,0,144,32
2016,40,0,145,32
2016,41,0,146,32
2016,42,0,147,32
2016,43,0,148,32
2016,44,0,149,32
2016,45,0,150,32
2016,46,0,151,32
2016,47,0,152,32
2016,48,0,153,32
2016,49,0,154,32
2016,50,0,155,32
2016,51,0,156,32
2016,52,0,157,32
2017,1,0,158,32
2017,2,0,159,32
2017,3,0,160,32
2017,4,0,161,32
2017,5,0,162,32
2017,6,0,163,32
2017,7,1,164,33
2017,8,1,165,34
2017,9,1,166,35
2017,10,1,167,36
2017,11,0,168,36
2017,12,0,169,36
2017,13,2,170,38
2017,14,0,171,38
2017,15,0,172,38
