Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,2,2,2
2014,3,0,3,2
2014,4,0,4,2
2014,5,0,5,2
2014,6,0,6,2
2014,7,0,7,2
2014,8,0,8,2
2014,9,0,9,2
2014,10,0,10,2
2014,11,0,11,2
2014,12,0,12,2
2014,13,1,13,3
2014,14,0,14,3
2014,15,1,15,4
2014,16,0,16,4
2014,17,0,17,4
2014,18,0,18,4
2014,19,0,19,4
2014,20,0,20,4
2014,21,0,21,4
2014,22,0,22,4
2014,23,1,23,5
2014,24,0,24,5
2014,25,0,25,5
2014,26,0,26,5
2014,27,0,27,5
2014,28,0,28,5
2014,29,0,29,5
2014,30,0,30,5
2014,31,0,31,5
2014,32,0,32,5
2014,33,0,33,5
2014,34,0,34,5
2014,35,0,35,5
2014,36,3,36,8
2014,37,0,37,8
2014,38,0,38,8
2014,39,0,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,0,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,0,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,3,57,11
2015,5,0,58,11
2015,6,0,59,11
2015,7,0,60,11
2015,8,0,61,11
2015,9,2,62,13
2015,10,1,63,14
2015,11,1,64,15
2015,12,0,65,15
2015,13,0,66,15
2015,14,0,67,15
2015,15,0,68,15
2015,16,0,69,15
2015,17,0,70,15
2015,18,2,71,17
2015,19,1,72,18
2015,20,0,73,18
2015,21,0,74,18
2015,22,0,75,18
2015,23,0,76,18
2015,24,0,77,18
2015,25,0,78,18
2015,26,0,79,18
2015,27,1,80,19
2015,28,0,81,19
2015,29,1,82,20
2015,30,0,83,20
2015,31,0,84,20
2015,32,0,85,20
2015,33,0,86,20
2015,34,1,87,21
2015,35,0,88,21
2015,36,0,89,21
2015,37,0,90,21
2015,38,0,91,21
2015,39,1,92,22
2015,40,1,93,23
2015,41,0,94,23
2015,42,0,95,23
2015,43,0,96,23
2015,44,1,97,24
2015,45,0,98,24
2015,46,0,99,24
2015,47,0,100,24
2015,48,1,101,25
2015,49,0,102,25
2015,50,0,103,25
2015,51,1,104,26
2015,52,0,105,26
2016,1,0,106,26
2016,2,0,107,26
2016,3,1,108,27
2016,4,1,109,28
2016,5,0,110,28
2016,6,0,111,28
2016,7,0,112,28
2016,8,0,113,28
2016,9,0,114,28
2016,10,2,115,30
2016,11,0,116,30
2016,12,0,117,30
2016,13,1,118,31
2016,14,0,119,31
2016,15,0,120,31
2016,16,0,121,31
2016,17,0,122,31
2016,18,4,123,35
2016,19,0,124,35
2016,20,0,125,35
2016,21,0,126,35
2016,22,0,127,35
2016,23,0,128,35
2016,24,0,129,35
2016,25,0,130,35
2016,26,1,131,36
2016,27,0,132,36
2016,28,0,133,36
2016,29,0,134,36
2016,30,0,135,36
2016,31,0,136,36
2016,32,0,137,36
2016,33,2,138,38
2016,34,0,139,38
2016,35,0,140,38
2016,36,2,141,40
2016,37,1,142,41
2016,38,0,143,41
2016,39,0,144,41
2016,40,0,145,41
2016,41,1,146,42
2016,42,0,147,42
2016,43,2,148,44
2016,44,0,149,44
2016,45,0,150,44
2016,46,2,151,46
2016,47,0,152,46
2016,48,0,153,46
2016,49,0,154,46
2016,50,0,155,46
2016,51,0,156,46
2016,52,0,157,46
2017,1,0,158,46
2017,2,0,159,46
2017,3,0,160,46
2017,4,2,161,48
2017,5,1,162,49
2017,6,5,163,54
2017,7,1,164,55
2017,8,1,165,56
2017,9,0,166,56
2017,10,0,167,56
2017,11,0,168,56
2017,12,2,169,58
2017,13,0,170,58
2017,14,0,171,58
2017,15,0,172,58
