Year,Week,Counts,Cumulative_Week,Cumulative Counts
2014,1,0,1,0
2014,2,0,2,0
2014,3,0,3,0
2014,4,5,4,5
2014,5,0,5,5
2014,6,0,6,5
2014,7,0,7,5
2014,8,0,8,5
2014,9,0,9,5
2014,10,0,10,5
2014,11,0,11,5
2014,12,0,12,5
2014,13,0,13,5
2014,14,0,14,5
2014,15,1,15,6
2014,16,0,16,6
2014,17,0,17,6
2014,18,0,18,6
2014,19,0,19,6
2014,20,0,20,6
2014,21,0,21,6
2014,22,0,22,6
2014,23,0,23,6
2014,24,0,24,6
2014,25,0,25,6
2014,26,0,26,6
2014,27,1,27,7
2014,28,0,28,7
2014,29,1,29,8
2014,30,0,30,8
2014,31,0,31,8
2014,32,0,32,8
2014,33,0,33,8
2014,34,0,34,8
2014,35,0,35,8
2014,36,0,36,8
2014,37,0,37,8
2014,38,0,38,8
2014,39,0,39,8
2014,40,0,40,8
2014,41,0,41,8
2014,42,0,42,8
2014,43,0,43,8
2014,44,0,44,8
2014,45,0,45,8
2014,46,0,46,8
2014,47,0,47,8
2014,48,0,48,8
2014,49,0,49,8
2014,50,0,50,8
2014,51,0,51,8
2014,52,0,52,8
2014,53,0,53,8
2015,1,0,54,8
2015,2,0,55,8
2015,3,0,56,8
2015,4,0,57,8
2015,5,0,58,8
2015,6,0,59,8
2015,7,0,60,8
2015,8,0,61,8
2015,9,0,62,8
2015,10,0,63,8
2015,11,0,64,8
2015,12,0,65,8
2015,13,1,66,9
2015,14,0,67,9
2015,15,0,68,9
2015,16,0,69,9
2015,17,0,70,9
2015,18,0,71,9
2015,19,1,72,10
2015,20,0,73,10
2015,21,0,74,10
2015,22,1,75,11
2015,23,0,76,11
2015,24,2,77,13
2015,25,0,78,13
2015,26,0,79,13
2015,27,0,80,13
2015,28,0,81,13
2015,29,0,82,13
2015,30,0,83,13
2015,31,0,84,13
2015,32,0,85,13
2015,33,0,86,13
2015,34,0,87,13
2015,35,0,88,13
2015,36,0,89,13
2015,37,0,90,13
2015,38,0,91,13
2015,39,0,92,13
2015,40,0,93,13
2015,41,0,94,13
2015,42,0,95,13
2015,43,1,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,1,99,15
2015,47,0,100,15
2015,48,1,101,16
2015,49,0,102,16
2015,50,0,103,16
2015,51,0,104,16
2015,52,0,105,16
2016,1,0,106,16
2016,2,0,107,16
2016,3,0,108,16
2016,4,0,109,16
2016,5,0,110,16
2016,6,0,111,16
2016,7,0,112,16
2016,8,1,113,17
2016,9,0,114,17
2016,10,0,115,17
2016,11,1,116,18
2016,12,0,117,18
2016,13,0,118,18
2016,14,0,119,18
2016,15,0,120,18
2016,16,0,121,18
2016,17,0,122,18
2016,18,0,123,18
2016,19,1,124,19
2016,20,0,125,19
2016,21,0,126,19
2016,22,1,127,20
2016,23,0,128,20
2016,24,1,129,21
2016,25,0,130,21
2016,26,0,131,21
2016,27,0,132,21
2016,28,0,133,21
2016,29,0,134,21
2016,30,0,135,21
2016,31,1,136,22
2016,32,0,137,22
2016,33,0,138,22
2016,34,0,139,22
2016,35,3,140,25
2016,36,0,141,25
2016,37,2,142,27
2016,38,0,143,27
2016,39,0,144,27
2016,40,0,145,27
2016,41,0,146,27
2016,42,0,147,27
2016,43,0,148,27
2016,44,0,149,27
2016,45,0,150,27
2016,46,2,151,29
2016,47,0,152,29
2016,48,2,153,31
2016,49,1,154,32
2016,50,3,155,35
2016,51,0,156,35
2016,52,0,157,35
2017,1,0,158,35
2017,2,0,159,35
2017,3,1,160,36
2017,4,0,161,36
2017,5,0,162,36
2017,6,0,163,36
2017,7,0,164,36
2017,8,0,165,36
2017,9,0,166,36
2017,10,0,167,36
2017,11,0,168,36
2017,12,0,169,36
2017,13,0,170,36
2017,14,0,171,36
2017,15,0,172,36
