Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,0,60,0
2015,8,1,61,1
2015,9,0,62,1
2015,10,0,63,1
2015,11,0,64,1
2015,12,0,65,1
2015,13,0,66,1
2015,14,1,67,2
2015,15,0,68,2
2015,16,0,69,2
2015,17,0,70,2
2015,18,0,71,2
2015,19,0,72,2
2015,20,0,73,2
2015,21,0,74,2
2015,22,0,75,2
2015,23,0,76,2
2015,24,0,77,2
2015,25,1,78,3
2015,26,0,79,3
2015,27,0,80,3
2015,28,0,81,3
2015,29,0,82,3
2015,30,0,83,3
2015,31,0,84,3
2015,32,0,85,3
2015,33,0,86,3
2015,34,1,87,4
2015,35,1,88,5
2015,36,0,89,5
2015,37,0,90,5
2015,38,0,91,5
2015,39,0,92,5
2015,40,0,93,5
2015,41,2,94,7
2015,42,0,95,7
2015,43,0,96,7
2015,44,0,97,7
2015,45,0,98,7
2015,46,0,99,7
2015,47,0,100,7
2015,48,0,101,7
2015,49,0,102,7
2015,50,0,103,7
2015,51,0,104,7
2015,52,0,105,7
2016,1,0,106,7
2016,2,0,107,7
2016,3,0,108,7
2016,4,0,109,7
2016,5,0,110,7
2016,6,0,111,7
2016,7,0,112,7
2016,8,0,113,7
2016,9,0,114,7
2016,10,0,115,7
2016,11,0,116,7
2016,12,0,117,7
2016,13,0,118,7
2016,14,0,119,7
2016,15,0,120,7
2016,16,0,121,7
2016,17,0,122,7
2016,18,0,123,7
2016,19,0,124,7
2016,20,0,125,7
2016,21,0,126,7
2016,22,0,127,7
2016,23,1,128,8
2016,24,0,129,8
2016,25,1,130,9
2016,26,0,131,9
2016,27,0,132,9
2016,28,0,133,9
2016,29,0,134,9
2016,30,1,135,10
2016,31,0,136,10
2016,32,0,137,10
2016,33,0,138,10
2016,34,0,139,10
2016,35,0,140,10
2016,36,0,141,10
2016,37,0,142,10
2016,38,0,143,10
2016,39,0,144,10
2016,40,0,145,10
2016,41,1,146,11
2016,42,0,147,11
2016,43,1,148,12
2016,44,0,149,12
2016,45,0,150,12
2016,46,2,151,14
2016,47,0,152,14
2016,48,0,153,14
2016,49,0,154,14
2016,50,0,155,14
2016,51,0,156,14
2016,52,0,157,14
