Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,0,60,0
2015,8,0,61,0
2015,9,0,62,0
2015,10,0,63,0
2015,11,0,64,0
2015,12,0,65,0
2015,13,0,66,0
2015,14,0,67,0
2015,15,0,68,0
2015,16,0,69,0
2015,17,0,70,0
2015,18,0,71,0
2015,19,0,72,0
2015,20,0,73,0
2015,21,0,74,0
2015,22,0,75,0
2015,23,0,76,0
2015,24,0,77,0
2015,25,0,78,0
2015,26,0,79,0
2015,27,0,80,0
2015,28,0,81,0
2015,29,0,82,0
2015,30,0,83,0
2015,31,0,84,0
2015,32,2,85,2
2015,33,1,86,3
2015,34,0,87,3
2015,35,0,88,3
2015,36,0,89,3
2015,37,0,90,3
2015,38,0,91,3
2015,39,0,92,3
2015,40,0,93,3
2015,41,0,94,3
2015,42,0,95,3
2015,43,0,96,3
2015,44,0,97,3
2015,45,0,98,3
2015,46,0,99,3
2015,47,0,100,3
2015,48,0,101,3
2015,49,0,102,3
2015,50,0,103,3
2015,51,0,104,3
2015,52,0,105,3
2016,1,0,106,3
2016,2,1,107,4
2016,3,0,108,4
2016,4,0,109,4
2016,5,1,110,5
2016,6,0,111,5
2016,7,0,112,5
2016,8,0,113,5
2016,9,0,114,5
2016,10,0,115,5
2016,11,0,116,5
2016,12,0,117,5
2016,13,0,118,5
2016,14,0,119,5
2016,15,0,120,5
2016,16,0,121,5
2016,17,0,122,5
2016,18,0,123,5
2016,19,0,124,5
2016,20,0,125,5
2016,21,0,126,5
2016,22,0,127,5
2016,23,0,128,5
2016,24,0,129,5
2016,25,0,130,5
2016,26,0,131,5
2016,27,0,132,5
2016,28,0,133,5
2016,29,0,134,5
2016,30,0,135,5
2016,31,0,136,5
2016,32,0,137,5
2016,33,1,138,6
2016,34,0,139,6
2016,35,0,140,6
2016,36,0,141,6
2016,37,0,142,6
2016,38,0,143,6
2016,39,0,144,6
2016,40,0,145,6
2016,41,0,146,6
2016,42,0,147,6
2016,43,0,148,6
2016,44,1,149,7
2016,45,0,150,7
2016,46,0,151,7
2016,47,0,152,7
2016,48,0,153,7
2016,49,0,154,7
2016,50,0,155,7
2016,51,0,156,7
2016,52,0,157,7
