Year,Week,Counts,Cumulative_Week,Cumulative Counts
2015,1,0,54,0
2015,2,0,55,0
2015,3,0,56,0
2015,4,0,57,0
2015,5,0,58,0
2015,6,0,59,0
2015,7,0,60,0
2015,8,0,61,0
2015,9,0,62,0
2015,10,1,63,1
2015,11,0,64,1
2015,12,0,65,1
2015,13,0,66,1
2015,14,0,67,1
2015,15,0,68,1
2015,16,0,69,1
2015,17,0,70,1
2015,18,0,71,1
2015,19,1,72,2
2015,20,0,73,2
2015,21,1,74,3
2015,22,0,75,3
2015,23,0,76,3
2015,24,2,77,5
2015,25,0,78,5
2015,26,0,79,5
2015,27,1,80,6
2015,28,0,81,6
2015,29,1,82,7
2015,30,0,83,7
2015,31,0,84,7
2015,32,1,85,8
2015,33,1,86,9
2015,34,1,87,10
2015,35,0,88,10
2015,36,0,89,10
2015,37,1,90,11
2015,38,1,91,12
2015,39,1,92,13
2015,40,1,93,14
2015,41,0,94,14
2015,42,0,95,14
2015,43,0,96,14
2015,44,0,97,14
2015,45,0,98,14
2015,46,0,99,14
2015,47,0,100,14
2015,48,0,101,14
2015,49,0,102,14
2015,50,0,103,14
2015,51,0,104,14
2015,52,0,105,14
2016,1,0,106,14
2016,2,0,107,14
2016,3,0,108,14
2016,4,0,109,14
2016,5,0,110,14
2016,6,0,111,14
2016,7,0,112,14
2016,8,0,113,14
2016,9,0,114,14
2016,10,0,115,14
2016,11,0,116,14
2016,12,0,117,14
2016,13,0,118,14
2016,14,1,119,15
2016,15,1,120,16
2016,16,0,121,16
2016,17,0,122,16
2016,18,0,123,16
2016,19,0,124,16
2016,20,0,125,16
2016,21,0,126,16
2016,22,0,127,16
2016,23,0,128,16
2016,24,0,129,16
2016,25,0,130,16
2016,26,0,131,16
2016,27,0,132,16
2016,28,0,133,16
2016,29,0,134,16
2016,30,1,135,17
2016,31,0,136,17
2016,32,2,137,19
2016,33,0,138,19
2016,34,1,139,20
2016,35,1,140,21
2016,36,0,141,21
2016,37,0,142,21
2016,38,1,143,22
2016,39,0,144,22
2016,40,2,145,24
2016,41,2,146,26
2016,42,0,147,26
2016,43,0,148,26
2016,44,0,149,26
2016,45,0,150,26
2016,46,0,151,26
2016,47,0,152,26
2016,48,1,153,27
2016,49,0,154,27
2016,50,0,155,27
2016,51,0,156,27
2016,52,0,157,27
