Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2015,1,54,0,0
ALASKA,2015,1,54,0,0
ARIZONA,2015,1,54,0,0
ARKANSAS,2015,1,54,0,0
CALIFORNIA,2015,1,54,0,0
COLORADO,2015,1,54,0,0
CONNECTICUT,2015,1,54,0,0
DELAWARE,2015,1,54,0,0
FLORIDA,2015,1,54,0,0
GEORGIA,2015,1,54,0,0
HAWAII,2015,1,54,0,0
IDAHO,2015,1,54,0,0
ILLINOIS,2015,1,54,0,0
INDIANA,2015,1,54,0,0
IOWA,2015,1,54,0,0
KANSAS,2015,1,54,0,0
KENTUCKY,2015,1,54,0,0
LOUISIANA,2015,1,54,0,0
MAINE,2015,1,54,0,0
MARYLAND,2015,1,54,0,0
MASSACHUSETTS,2015,1,54,0,0
MICHIGAN,2015,1,54,0,0
MINNESOTA,2015,1,54,0,0
MISSISSIPPI,2015,1,54,0,0
MISSOURI,2015,1,54,0,0
MONTANA,2015,1,54,0,0
NEBRASKA,2015,1,54,0,0
NEVADA,2015,1,54,0,0
NEW HAMPSHIRE,2015,1,54,0,0
NEW JERSEY,2015,1,54,0,0
NEW MEXICO,2015,1,54,0,0
NEW YORK,2015,1,54,0,0
NORTH CAROLINA,2015,1,54,0,0
NORTH DAKOTA,2015,1,54,0,0
OHIO,2015,1,54,0,0
OKLAHOMA,2015,1,54,0,0
OREGON,2015,1,54,0,0
PENNSYLVANIA,2015,1,54,0,0
RHODE ISLAND,2015,1,54,0,0
SOUTH CAROLINA,2015,1,54,0,0
SOUTH DAKOTA,2015,1,54,0,0
TENNESSEE,2015,1,54,0,0
TEXAS,2015,1,54,0,0
UTAH,2015,1,54,0,0
VERMONT,2015,1,54,0,0
VIRGINIA,2015,1,54,0,0
WASHINGTON,2015,1,54,0,0
WEST VIRGINIA,2015,1,54,0,0
WISCONSIN,2015,1,54,0,0
WYOMING,2015,1,54,0,0
ALABAMA,2015,2,55,0,0
ALASKA,2015,2,55,2,2
ARIZONA,2015,2,55,3,3
ARKANSAS,2015,2,55,1,1
CALIFORNIA,2015,2,55,0,0
COLORADO,2015,2,55,0,0
CONNECTICUT,2015,2,55,1,1
DELAWARE,2015,2,55,0,0
FLORIDA,2015,2,55,57,57
GEORGIA,2015,2,55,7,7
HAWAII,2015,2,55,4,4
IDAHO,2015,2,55,6,6
ILLINOIS,2015,2,55,0,0
INDIANA,2015,2,55,0,0
IOWA,2015,2,55,2,2
KANSAS,2015,2,55,0,0
KENTUCKY,2015,2,55,3,3
LOUISIANA,2015,2,55,1,1
MAINE,2015,2,55,1,1
MARYLAND,2015,2,55,9,9
MASSACHUSETTS,2015,2,55,0,0
MICHIGAN,2015,2,55,5,5
MINNESOTA,2015,2,55,0,0
MISSISSIPPI,2015,2,55,0,0
MISSOURI,2015,2,55,10,10
MONTANA,2015,2,55,1,1
NEBRASKA,2015,2,55,0,0
NEVADA,2015,2,55,0,0
NEW HAMPSHIRE,2015,2,55,0,0
NEW JERSEY,2015,2,55,0,0
NEW MEXICO,2015,2,55,0,0
NEW YORK,2015,2,55,0,0
NORTH CAROLINA,2015,2,55,21,21
NORTH DAKOTA,2015,2,55,0,0
OHIO,2015,2,55,23,23
OKLAHOMA,2015,2,55,1,1
OREGON,2015,2,55,4,4
PENNSYLVANIA,2015,2,55,13,13
RHODE ISLAND,2015,2,55,0,0
SOUTH CAROLINA,2015,2,55,2,2
SOUTH DAKOTA,2015,2,55,0,0
TENNESSEE,2015,2,55,6,6
TEXAS,2015,2,55,9,9
UTAH,2015,2,55,0,0
VERMONT,2015,2,55,0,0
VIRGINIA,2015,2,55,4,4
WASHINGTON,2015,2,55,1,1
WEST VIRGINIA,2015,2,55,1,1
WISCONSIN,2015,2,55,4,4
WYOMING,2015,2,55,0,0
ALABAMA,2015,3,56,0,0
ALASKA,2015,3,56,2,4
ARIZONA,2015,3,56,3,6
ARKANSAS,2015,3,56,0,1
CALIFORNIA,2015,3,56,0,0
COLORADO,2015,3,56,0,0
CONNECTICUT,2015,3,56,0,1
DELAWARE,2015,3,56,1,1
FLORIDA,2015,3,56,59,116
GEORGIA,2015,3,56,0,7
HAWAII,2015,3,56,0,4
IDAHO,2015,3,56,4,10
ILLINOIS,2015,3,56,0,0
INDIANA,2015,3,56,0,0
IOWA,2015,3,56,1,3
KANSAS,2015,3,56,0,0
KENTUCKY,2015,3,56,7,10
LOUISIANA,2015,3,56,9,10
MAINE,2015,3,56,0,1
MARYLAND,2015,3,56,8,17
MASSACHUSETTS,2015,3,56,0,0
MICHIGAN,2015,3,56,5,10
MINNESOTA,2015,3,56,0,0
MISSISSIPPI,2015,3,56,0,0
MISSOURI,2015,3,56,8,18
MONTANA,2015,3,56,0,1
NEBRASKA,2015,3,56,4,4
NEVADA,2015,3,56,0,0
NEW HAMPSHIRE,2015,3,56,0,0
NEW JERSEY,2015,3,56,0,0
NEW MEXICO,2015,3,56,0,0
NEW YORK,2015,3,56,0,0
NORTH CAROLINA,2015,3,56,19,40
NORTH DAKOTA,2015,3,56,0,0
OHIO,2015,3,56,24,47
OKLAHOMA,2015,3,56,3,4
OREGON,2015,3,56,13,17
PENNSYLVANIA,2015,3,56,16,29
RHODE ISLAND,2015,3,56,0,0
SOUTH CAROLINA,2015,3,56,4,6
SOUTH DAKOTA,2015,3,56,0,0
TENNESSEE,2015,3,56,4,10
TEXAS,2015,3,56,16,25
UTAH,2015,3,56,0,0
VERMONT,2015,3,56,0,0
VIRGINIA,2015,3,56,12,16
WASHINGTON,2015,3,56,9,10
WEST VIRGINIA,2015,3,56,0,1
WISCONSIN,2015,3,56,8,12
WYOMING,2015,3,56,0,0
ALABAMA,2015,4,57,0,0
ALASKA,2015,4,57,0,4
ARIZONA,2015,4,57,1,7
ARKANSAS,2015,4,57,10,11
CALIFORNIA,2015,4,57,12,12
COLORADO,2015,4,57,0,0
CONNECTICUT,2015,4,57,0,1
DELAWARE,2015,4,57,0,1
FLORIDA,2015,4,57,69,185
GEORGIA,2015,4,57,5,12
HAWAII,2015,4,57,6,10
IDAHO,2015,4,57,5,15
ILLINOIS,2015,4,57,0,0
INDIANA,2015,4,57,0,0
IOWA,2015,4,57,1,4
KANSAS,2015,4,57,0,0
KENTUCKY,2015,4,57,1,11
LOUISIANA,2015,4,57,9,19
MAINE,2015,4,57,1,2
MARYLAND,2015,4,57,20,37
MASSACHUSETTS,2015,4,57,0,0
MICHIGAN,2015,4,57,7,17
MINNESOTA,2015,4,57,0,0
MISSISSIPPI,2015,4,57,1,1
MISSOURI,2015,4,57,9,27
MONTANA,2015,4,57,5,6
NEBRASKA,2015,4,57,3,7
NEVADA,2015,4,57,0,0
NEW HAMPSHIRE,2015,4,57,0,0
NEW JERSEY,2015,4,57,0,0
NEW MEXICO,2015,4,57,0,0
NEW YORK,2015,4,57,0,0
NORTH CAROLINA,2015,4,57,20,60
NORTH DAKOTA,2015,4,57,0,0
OHIO,2015,4,57,15,62
OKLAHOMA,2015,4,57,4,8
OREGON,2015,4,57,8,25
PENNSYLVANIA,2015,4,57,12,41
RHODE ISLAND,2015,4,57,0,0
SOUTH CAROLINA,2015,4,57,0,6
SOUTH DAKOTA,2015,4,57,0,0
TENNESSEE,2015,4,57,14,24
TEXAS,2015,4,57,33,58
UTAH,2015,4,57,0,0
VERMONT,2015,4,57,0,0
VIRGINIA,2015,4,57,4,20
WASHINGTON,2015,4,57,0,10
WEST VIRGINIA,2015,4,57,0,1
WISCONSIN,2015,4,57,4,16
WYOMING,2015,4,57,0,0
ALABAMA,2015,5,58,0,0
ALASKA,2015,5,58,1,5
ARIZONA,2015,5,58,6,13
