Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,1,1,0,0
ALASKA,2014,1,1,30,30
ARIZONA,2014,1,1,0,0
ARKANSAS,2014,1,1,172,172
CALIFORNIA,2014,1,1,435,435
COLORADO,2014,1,1,288,288
CONNECTICUT,2014,1,1,8,8
DELAWARE,2014,1,1,24,24
FLORIDA,2014,1,1,726,726
GEORGIA,2014,1,1,342,342
HAWAII,2014,1,1,0,0
IDAHO,2014,1,1,49,49
ILLINOIS,2014,1,1,14,14
INDIANA,2014,1,1,157,157
IOWA,2014,1,1,5,5
KANSAS,2014,1,1,0,0
KENTUCKY,2014,1,1,147,147
LOUISIANA,2014,1,1,77,77
MAINE,2014,1,1,0,0
MARYLAND,2014,1,1,71,71
MASSACHUSETTS,2014,1,1,230,230
MICHIGAN,2014,1,1,131,131
MINNESOTA,2014,1,1,0,0
MISSISSIPPI,2014,1,1,315,315
MISSOURI,2014,1,1,47,47
MONTANA,2014,1,1,41,41
NEBRASKA,2014,1,1,0,0
NEVADA,2014,1,1,131,131
NEW HAMPSHIRE,2014,1,1,0,0
NEW JERSEY,2014,1,1,4,4
NEW MEXICO,2014,1,1,68,68
NEW YORK,2014,1,1,65,65
NORTH CAROLINA,2014,1,1,898,898
NORTH DAKOTA,2014,1,1,0,0
OHIO,2014,1,1,54,54
OKLAHOMA,2014,1,1,26,26
OREGON,2014,1,1,199,199
PENNSYLVANIA,2014,1,1,579,579
RHODE ISLAND,2014,1,1,75,75
SOUTH CAROLINA,2014,1,1,929,929
SOUTH DAKOTA,2014,1,1,20,20
TENNESSEE,2014,1,1,124,124
TEXAS,2014,1,1,1346,1346
UTAH,2014,1,1,48,48
VERMONT,2014,1,1,2,2
VIRGINIA,2014,1,1,594,594
WASHINGTON,2014,1,1,236,236
WEST VIRGINIA,2014,1,1,42,42
WISCONSIN,2014,1,1,149,149
WYOMING,2014,1,1,0,0
ALABAMA,2014,2,2,361,361
ALASKA,2014,2,2,38,68
ARIZONA,2014,2,2,0,0
ARKANSAS,2014,2,2,190,362
CALIFORNIA,2014,2,2,1315,1750
COLORADO,2014,2,2,276,564
CONNECTICUT,2014,2,2,0,8
DELAWARE,2014,2,2,56,80
FLORIDA,2014,2,2,880,1606
GEORGIA,2014,2,2,970,1312
HAWAII,2014,2,2,2,2
IDAHO,2014,2,2,82,131
ILLINOIS,2014,2,2,0,14
INDIANA,2014,2,2,80,237
IOWA,2014,2,2,22,27
KANSAS,2014,2,2,22,22
KENTUCKY,2014,2,2,297,444
LOUISIANA,2014,2,2,88,165
MAINE,2014,2,2,0,0
MARYLAND,2014,2,2,118,189
MASSACHUSETTS,2014,2,2,318,548
MICHIGAN,2014,2,2,344,475
MINNESOTA,2014,2,2,0,0
MISSISSIPPI,2014,2,2,0,315
MISSOURI,2014,2,2,158,205
MONTANA,2014,2,2,72,113
NEBRASKA,2014,2,2,0,0
NEVADA,2014,2,2,189,320
NEW HAMPSHIRE,2014,2,2,2,2
NEW JERSEY,2014,2,2,0,4
NEW MEXICO,2014,2,2,146,214
NEW YORK,2014,2,2,394,459
NORTH CAROLINA,2014,2,2,1141,2039
NORTH DAKOTA,2014,2,2,4,4
OHIO,2014,2,2,241,295
OKLAHOMA,2014,2,2,67,93
OREGON,2014,2,2,301,500
PENNSYLVANIA,2014,2,2,864,1443
RHODE ISLAND,2014,2,2,0,75
SOUTH CAROLINA,2014,2,2,0,929
SOUTH DAKOTA,2014,2,2,38,58
TENNESSEE,2014,2,2,255,379
TEXAS,2014,2,2,1331,2677
UTAH,2014,2,2,106,154
VERMONT,2014,2,2,19,21
VIRGINIA,2014,2,2,56,650
WASHINGTON,2014,2,2,378,614
WEST VIRGINIA,2014,2,2,74,116
WISCONSIN,2014,2,2,259,408
WYOMING,2014,2,2,0,0
ALABAMA,2014,3,3,0,361
ALASKA,2014,3,3,0,68
ARIZONA,2014,3,3,0,0
ARKANSAS,2014,3,3,0,362
CALIFORNIA,2014,3,3,1228,2978
COLORADO,2014,3,3,337,901
CONNECTICUT,2014,3,3,0,8
DELAWARE,2014,3,3,42,122
FLORIDA,2014,3,3,946,2552
GEORGIA,2014,3,3,1010,2322
HAWAII,2014,3,3,0,2
IDAHO,2014,3,3,91,222
ILLINOIS,2014,3,3,0,14
INDIANA,2014,3,3,165,402
IOWA,2014,3,3,6,33
KANSAS,2014,3,3,0,22
KENTUCKY,2014,3,3,278,722
LOUISIANA,2014,3,3,87,252
MAINE,2014,3,3,0,0
MARYLAND,2014,3,3,0,189
MASSACHUSETTS,2014,3,3,390,938
MICHIGAN,2014,3,3,431,906
MINNESOTA,2014,3,3,0,0
MISSISSIPPI,2014,3,3,268,583
MISSOURI,2014,3,3,157,362
MONTANA,2014,3,3,46,159
NEBRASKA,2014,3,3,0,0
NEVADA,2014,3,3,176,496
NEW HAMPSHIRE,2014,3,3,2,4
NEW JERSEY,2014,3,3,232,236
NEW MEXICO,2014,3,3,175,389
NEW YORK,2014,3,3,588,1047
NORTH CAROLINA,2014,3,3,0,2039
NORTH DAKOTA,2014,3,3,4,8
OHIO,2014,3,3,376,671
OKLAHOMA,2014,3,3,0,93
OREGON,2014,3,3,299,799
PENNSYLVANIA,2014,3,3,1099,2542
RHODE ISLAND,2014,3,3,88,163
SOUTH CAROLINA,2014,3,3,449,1378
SOUTH DAKOTA,2014,3,3,31,89
TENNESSEE,2014,3,3,202,581
TEXAS,2014,3,3,0,2677
UTAH,2014,3,3,40,194
VERMONT,2014,3,3,30,51
VIRGINIA,2014,3,3,259,909
WASHINGTON,2014,3,3,380,994
WEST VIRGINIA,2014,3,3,0,116
WISCONSIN,2014,3,3,232,640
WYOMING,2014,3,3,0,0
ALABAMA,2014,4,4,0,361
ALASKA,2014,4,4,0,68
ARIZONA,2014,4,4,0,0
ARKANSAS,2014,4,4,0,362
CALIFORNIA,2014,4,4,855,3833
COLORADO,2014,4,4,395,1296
CONNECTICUT,2014,4,4,0,8
DELAWARE,2014,4,4,38,160
FLORIDA,2014,4,4,857,3409
GEORGIA,2014,4,4,397,2719
HAWAII,2014,4,4,0,2
IDAHO,2014,4,4,83,305
ILLINOIS,2014,4,4,0,14
INDIANA,2014,4,4,118,520
IOWA,2014,4,4,36,69
KANSAS,2014,4,4,61,83
KENTUCKY,2014,4,4,216,938
LOUISIANA,2014,4,4,0,252
MAINE,2014,4,4,0,0
MARYLAND,2014,4,4,0,189
MASSACHUSETTS,2014,4,4,0,938
MICHIGAN,2014,4,4,452,1358
MINNESOTA,2014,4,4,0,0
MISSISSIPPI,2014,4,4,0,583
MISSOURI,2014,4,4,104,466
MONTANA,2014,4,4,68,227
NEBRASKA,2014,4,4,102,102
NEVADA,2014,4,4,57,553
NEW HAMPSHIRE,2014,4,4,0,4
NEW JERSEY,2014,4,4,126,362
NEW MEXICO,2014,4,4,106,495
NEW YORK,2014,4,4,667,1714
NORTH CAROLINA,2014,4,4,926,2965
NORTH DAKOTA,2014,4,4,8,16
OHIO,2014,4,4,312,983
OKLAHOMA,2014,4,4,29,122
OREGON,2014,4,4,223,1022
PENNSYLVANIA,2014,4,4,897,3439
RHODE ISLAND,2014,4,4,0,163
SOUTH CAROLINA,2014,4,4,0,1378
SOUTH DAKOTA,2014,4,4,34,123
