Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,1,1,0,0
ALASKA,2014,1,1,13,13
ARIZONA,2014,1,1,0,0
ARKANSAS,2014,1,1,55,55
CALIFORNIA,2014,1,1,151,151
COLORADO,2014,1,1,58,58
DELAWARE,2014,1,1,8,8
FLORIDA,2014,1,1,254,254
GEORGIA,2014,1,1,83,83
HAWAII,2014,1,1,0,0
IDAHO,2014,1,1,0,0
ILLINOIS,2014,1,1,6,6
INDIANA,2014,1,1,37,37
IOWA,2014,1,1,1,1
KANSAS,2014,1,1,0,0
KENTUCKY,2014,1,1,35,35
LOUISIANA,2014,1,1,13,13
MAINE,2014,1,1,0,0
MARYLAND,2014,1,1,16,16
MASSACHUSETTS,2014,1,1,48,48
MICHIGAN,2014,1,1,45,45
MINNESOTA,2014,1,1,0,0
MISSISSIPPI,2014,1,1,99,99
MISSOURI,2014,1,1,35,35
MONTANA,2014,1,1,6,6
NEBRASKA,2014,1,1,0,0
NEVADA,2014,1,1,44,44
NEW HAMPSHIRE,2014,1,1,1,1
NEW JERSEY,2014,1,1,3,3
NEW MEXICO,2014,1,1,8,8
NEW YORK,2014,1,1,7,7
NORTH CAROLINA,2014,1,1,244,244
NORTH DAKOTA,2014,1,1,0,0
OHIO,2014,1,1,23,23
OKLAHOMA,2014,1,1,8,8
OREGON,2014,1,1,22,22
PENNSYLVANIA,2014,1,1,181,181
RHODE ISLAND,2014,1,1,1,1
SOUTH CAROLINA,2014,1,1,280,280
SOUTH DAKOTA,2014,1,1,0,0
TENNESSEE,2014,1,1,32,32
TEXAS,2014,1,1,351,351
UTAH,2014,1,1,14,14
VERMONT,2014,1,1,1,1
VIRGINIA,2014,1,1,106,106
WASHINGTON,2014,1,1,52,52
WEST VIRGINIA,2014,1,1,15,15
WISCONSIN,2014,1,1,26,26
WYOMING,2014,1,1,0,0
ALABAMA,2014,2,2,100,100
ALASKA,2014,2,2,17,30
ARIZONA,2014,2,2,0,0
