Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,1,1,4,4
ALABAMA,2014,1,1,0,4
ALASKA,2014,1,1,0,0
ALASKA,2014,1,1,0,0
ARIZONA,2014,1,1,24,24
ARIZONA,2014,1,1,0,24
ARKANSAS,2014,1,1,0,0
ARKANSAS,2014,1,1,0,0
CALIFORNIA,2014,1,1,0,0
CALIFORNIA,2014,1,1,0,0
COLORADO,2014,1,1,0,0
COLORADO,2014,1,1,0,0
CONNECTICUT,2014,1,1,0,0
CONNECTICUT,2014,1,1,0,0
DELAWARE,2014,1,1,0,0
DELAWARE,2014,1,1,0,0
FLORIDA,2014,1,1,27,27
FLORIDA,2014,1,1,1,28
GEORGIA,2014,1,1,19,19
GEORGIA,2014,1,1,0,19
HAWAII,2014,1,1,0,0
HAWAII,2014,1,1,0,0
IDAHO,2014,1,1,0,0
IDAHO,2014,1,1,0,0
ILLINOIS,2014,1,1,0,0
ILLINOIS,2014,1,1,0,0
INDIANA,2014,1,1,0,0
INDIANA,2014,1,1,0,0
IOWA,2014,1,1,0,0
IOWA,2014,1,1,0,0
KANSAS,2014,1,1,0,0
KANSAS,2014,1,1,0,0
KENTUCKY,2014,1,1,4,4
KENTUCKY,2014,1,1,1,5
LOUISIANA,2014,1,1,4,4
LOUISIANA,2014,1,1,2,6
MAINE,2014,1,1,4,4
MAINE,2014,1,1,0,4
MARYLAND,2014,1,1,7,7
MARYLAND,2014,1,1,1,8
MASSACHUSETTS,2014,1,1,0,0
MASSACHUSETTS,2014,1,1,0,0
MICHIGAN,2014,1,1,4,4
MICHIGAN,2014,1,1,0,4
MINNESOTA,2014,1,1,0,0
MINNESOTA,2014,1,1,0,0
MISSISSIPPI,2014,1,1,8,8
MISSISSIPPI,2014,1,1,1,9
MISSOURI,2014,1,1,0,0
MISSOURI,2014,1,1,0,0
MONTANA,2014,1,1,2,2
MONTANA,2014,1,1,0,2
NEBRASKA,2014,1,1,5,5
NEBRASKA,2014,1,1,0,5
NEVADA,2014,1,1,0,0
NEVADA,2014,1,1,0,0
NEW HAMPSHIRE,2014,1,1,0,0
NEW HAMPSHIRE,2014,1,1,0,0
