Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,1,1,0,0
ALASKA,2014,1,1,1,1
ARIZONA,2014,1,1,0,0
ARKANSAS,2014,1,1,1,1
CALIFORNIA,2014,1,1,2,2
COLORADO,2014,1,1,0,0
CONNECTICUT,2014,1,1,0,0
DELAWARE,2014,1,1,0,0
FLORIDA,2014,1,1,13,13
GEORGIA,2014,1,1,14,14
HAWAII,2014,1,1,0,0
IDAHO,2014,1,1,2,2
ILLINOIS,2014,1,1,0,0
INDIANA,2014,1,1,0,0
IOWA,2014,1,1,2,2
KANSAS,2014,1,1,0,0
KENTUCKY,2014,1,1,3,3
LOUISIANA,2014,1,1,0,0
MAINE,2014,1,1,0,0
MARYLAND,2014,1,1,2,2
MASSACHUSETTS,2014,1,1,0,0
MICHIGAN,2014,1,1,1,1
MINNESOTA,2014,1,1,0,0
MISSISSIPPI,2014,1,1,0,0
MISSOURI,2014,1,1,1,1
MONTANA,2014,1,1,0,0
NEBRASKA,2014,1,1,1,1
NEVADA,2014,1,1,0,0
NEW HAMPSHIRE,2014,1,1,0,0
NEW JERSEY,2014,1,1,0,0
NEW MEXICO,2014,1,1,0,0
NEW YORK,2014,1,1,0,0
NORTH CAROLINA,2014,1,1,116,116
NORTH DAKOTA,2014,1,1,0,0
OHIO,2014,1,1,11,11
OKLAHOMA,2014,1,1,0,0
OREGON,2014,1,1,1,1
PENNSYLVANIA,2014,1,1,0,0
RHODE ISLAND,2014,1,1,0,0
SOUTH CAROLINA,2014,1,1,1,1
SOUTH DAKOTA,2014,1,1,2,2
TENNESSEE,2014,1,1,23,23
TEXAS,2014,1,1,0,0
UTAH,2014,1,1,0,0
VERMONT,2014,1,1,0,0
VIRGINIA,2014,1,1,1,1
WASHINGTON,2014,1,1,0,0
WEST VIRGINIA,2014,1,1,0,0
WISCONSIN,2014,1,1,0,0
WYOMING,2014,1,1,0,0
ALABAMA,2014,2,2,1,1
ALASKA,2014,2,2,0,1
ARIZONA,2014,2,2,2,2
ARKANSAS,2014,2,2,3,4
CALIFORNIA,2014,2,2,1,3
COLORADO,2014,2,2,0,0
CONNECTICUT,2014,2,2,0,0
DELAWARE,2014,2,2,0,0
FLORIDA,2014,2,2,34,47
GEORGIA,2014,2,2,13,27
HAWAII,2014,2,2,0,0
IDAHO,2014,2,2,0,2
ILLINOIS,2014,2,2,0,0
INDIANA,2014,2,2,0,0
IOWA,2014,2,2,1,3
KANSAS,2014,2,2,0,0
KENTUCKY,2014,2,2,0,3
LOUISIANA,2014,2,2,1,1
MAINE,2014,2,2,0,0
MARYLAND,2014,2,2,1,3
MASSACHUSETTS,2014,2,2,2,2
MICHIGAN,2014,2,2,0,1
MINNESOTA,2014,2,2,0,0
MISSISSIPPI,2014,2,2,0,0
MISSOURI,2014,2,2,3,4
MONTANA,2014,2,2,1,1
NEBRASKA,2014,2,2,0,1
NEVADA,2014,2,2,0,0
NEW HAMPSHIRE,2014,2,2,0,0
NEW JERSEY,2014,2,2,0,0
NEW MEXICO,2014,2,2,0,0
NEW YORK,2014,2,2,0,0
NORTH CAROLINA,2014,2,2,0,116
NORTH DAKOTA,2014,2,2,0,0
OHIO,2014,2,2,16,27
OKLAHOMA,2014,2,2,0,0
OREGON,2014,2,2,1,2
PENNSYLVANIA,2014,2,2,1,1
RHODE ISLAND,2014,2,2,0,0
SOUTH CAROLINA,2014,2,2,0,1
SOUTH DAKOTA,2014,2,2,2,4
TENNESSEE,2014,2,2,10,33
TEXAS,2014,2,2,2,2
UTAH,2014,2,2,0,0
VERMONT,2014,2,2,0,0
VIRGINIA,2014,2,2,2,3
WASHINGTON,2014,2,2,0,0
WEST VIRGINIA,2014,2,2,0,0
WISCONSIN,2014,2,2,0,0
WYOMING,2014,2,2,0,0
ALABAMA,2014,3,3,1,2
ALASKA,2014,3,3,0,1
ARIZONA,2014,3,3,0,2
ARKANSAS,2014,3,3,5,9
CALIFORNIA,2014,3,3,6,9
COLORADO,2014,3,3,0,0
CONNECTICUT,2014,3,3,0,0
DELAWARE,2014,3,3,0,0
FLORIDA,2014,3,3,14,61
GEORGIA,2014,3,3,9,36
HAWAII,2014,3,3,0,0
IDAHO,2014,3,3,0,2
ILLINOIS,2014,3,3,0,0
INDIANA,2014,3,3,0,0
IOWA,2014,3,3,1,4
KANSAS,2014,3,3,0,0
KENTUCKY,2014,3,3,0,3
LOUISIANA,2014,3,3,0,1
MAINE,2014,3,3,0,0
MARYLAND,2014,3,3,0,3
MASSACHUSETTS,2014,3,3,2,4
MICHIGAN,2014,3,3,1,2
MINNESOTA,2014,3,3,0,0
MISSISSIPPI,2014,3,3,0,0
MISSOURI,2014,3,3,3,7
MONTANA,2014,3,3,0,1
NEBRASKA,2014,3,3,0,1
NEVADA,2014,3,3,0,0
NEW HAMPSHIRE,2014,3,3,0,0
NEW JERSEY,2014,3,3,0,0
NEW MEXICO,2014,3,3,0,0
NEW YORK,2014,3,3,8,8
NORTH CAROLINA,2014,3,3,9,125
NORTH DAKOTA,2014,3,3,0,0
OHIO,2014,3,3,12,39
OKLAHOMA,2014,3,3,0,0
OREGON,2014,3,3,1,3
PENNSYLVANIA,2014,3,3,3,4
RHODE ISLAND,2014,3,3,0,0
SOUTH CAROLINA,2014,3,3,1,2
SOUTH DAKOTA,2014,3,3,0,4
TENNESSEE,2014,3,3,14,47
TEXAS,2014,3,3,4,6
UTAH,2014,3,3,0,0
VERMONT,2014,3,3,0,0
VIRGINIA,2014,3,3,0,3
WASHINGTON,2014,3,3,0,0
WEST VIRGINIA,2014,3,3,0,0
WISCONSIN,2014,3,3,0,0
WYOMING,2014,3,3,0,0
ALABAMA,2014,4,4,3,5
ALASKA,2014,4,4,0,1
ARIZONA,2014,4,4,0,2
ARKANSAS,2014,4,4,3,12
CALIFORNIA,2014,4,4,8,17
COLORADO,2014,4,4,0,0
CONNECTICUT,2014,4,4,0,0
DELAWARE,2014,4,4,0,0
FLORIDA,2014,4,4,20,81
GEORGIA,2014,4,4,6,42
HAWAII,2014,4,4,0,0
IDAHO,2014,4,4,0,2
ILLINOIS,2014,4,4,0,0
INDIANA,2014,4,4,0,0
IOWA,2014,4,4,3,7
KANSAS,2014,4,4,0,0
KENTUCKY,2014,4,4,0,3
LOUISIANA,2014,4,4,0,1
MAINE,2014,4,4,0,0
MARYLAND,2014,4,4,3,6
MASSACHUSETTS,2014,4,4,0,4
MICHIGAN,2014,4,4,0,2
MINNESOTA,2014,4,4,0,0
MISSISSIPPI,2014,4,4,0,0
MISSOURI,2014,4,4,1,8
MONTANA,2014,4,4,0,1
NEBRASKA,2014,4,4,0,1
NEVADA,2014,4,4,0,0
NEW HAMPSHIRE,2014,4,4,0,0
NEW JERSEY,2014,4,4,0,0
NEW MEXICO,2014,4,4,0,0
NEW YORK,2014,4,4,5,13
NORTH CAROLINA,2014,4,4,0,125
NORTH DAKOTA,2014,4,4,0,0
OHIO,2014,4,4,9,48
OKLAHOMA,2014,4,4,3,3
OREGON,2014,4,4,0,3
PENNSYLVANIA,2014,4,4,0,4
RHODE ISLAND,2014,4,4,0,0
SOUTH CAROLINA,2014,4,4,2,4
SOUTH DAKOTA,2014,4,4,6,10
TENNESSEE,2014,4,4,18,65
TEXAS,2014,4,4,22,28
UTAH,2014,4,4,1,1
VERMONT,2014,4,4,0,0
VIRGINIA,2014,4,4,2,5
WASHINGTON,2014,4,4,0,0
WEST VIRGINIA,2014,4,4,0,0
WISCONSIN,2014,4,4,0,0
WYOMING,2014,4,4,0,0
ALABAMA,2014,5,5,1,6
ALASKA,2014,5,5,0,1
ARIZONA,2014,5,5,2,4
ARKANSAS,2014,5,5,7,19
CALIFORNIA,2014,5,5,24,41
COLORADO,2014,5,5,0,0
CONNECTICUT,2014,5,5,0,0
DELAWARE,2014,5,5,0,0
FLORIDA,2014,5,5,20,101
GEORGIA,2014,5,5,1,43
HAWAII,2014,5,5,0,0
IDAHO,2014,5,5,0,2
ILLINOIS,2014,5,5,0,0
INDIANA,2014,5,5,0,0
IOWA,2014,5,5,0,7
