Area,Year,Week,Cumulative_Week,Counts,Cumulative_Counts
ALABAMA,2014,1,1,0,0
ALASKA,2014,1,1,0,0
ARIZONA,2014,1,1,0,0
ARKANSAS,2014,1,1,2,2
CALIFORNIA,2014,1,1,15,15
COLORADO,2014,1,1,0,0
CONNECTICUT,2014,1,1,0,0
DELAWARE,2014,1,1,0,0
FLORIDA,2014,1,1,3,3
GEORGIA,2014,1,1,8,8
HAWAII,2014,1,1,0,0
IDAHO,2014,1,1,0,0
ILLINOIS,2014,1,1,0,0
INDIANA,2014,1,1,0,0
IOWA,2014,1,1,0,0
KANSAS,2014,1,1,0,0
KENTUCKY,2014,1,1,0,0
LOUISIANA,2014,1,1,0,0
MAINE,2014,1,1,0,0
MARYLAND,2014,1,1,0,0
MASSACHUSETTS,2014,1,1,0,0
MICHIGAN,2014,1,1,0,0
MINNESOTA,2014,1,1,0,0
MISSISSIPPI,2014,1,1,0,0
MISSOURI,2014,1,1,0,0
MONTANA,2014,1,1,0,0
NEBRASKA,2014,1,1,0,0
NEVADA,2014,1,1,8,8
NEW HAMPSHIRE,2014,1,1,0,0
NEW JERSEY,2014,1,1,0,0
NEW MEXICO,2014,1,1,0,0
NEW YORK,2014,1,1,0,0
NORTH CAROLINA,2014,1,1,0,0
NORTH DAKOTA,2014,1,1,0,0
OHIO,2014,1,1,0,0
OKLAHOMA,2014,1,1,0,0
OREGON,2014,1,1,1,1
PENNSYLVANIA,2014,1,1,2,2
RHODE ISLAND,2014,1,1,0,0
SOUTH CAROLINA,2014,1,1,3,3
SOUTH DAKOTA,2014,1,1,0,0
TENNESSEE,2014,1,1,1,1
TEXAS,2014,1,1,7,7
UTAH,2014,1,1,0,0
VERMONT,2014,1,1,0,0
VIRGINIA,2014,1,1,3,3
WASHINGTON,2014,1,1,2,2
WEST VIRGINIA,2014,1,1,0,0
WISCONSIN,2014,1,1,0,0
WYOMING,2014,1,1,0,0
ALABAMA,2014,2,2,1,1
ALASKA,2014,2,2,0,0
ARIZONA,2014,2,2,0,0
ARKANSAS,2014,2,2,3,5
CALIFORNIA,2014,2,2,10,25
COLORADO,2014,2,2,0,0
CONNECTICUT,2014,2,2,0,0
DELAWARE,2014,2,2,1,1
FLORIDA,2014,2,2,9,12
GEORGIA,2014,2,2,16,24
HAWAII,2014,2,2,0,0
IDAHO,2014,2,2,0,0
ILLINOIS,2014,2,2,0,0
INDIANA,2014,2,2,1,1
IOWA,2014,2,2,0,0
KANSAS,2014,2,2,0,0
KENTUCKY,2014,2,2,2,2
LOUISIANA,2014,2,2,0,0
MAINE,2014,2,2,0,0
MARYLAND,2014,2,2,8,8
MASSACHUSETTS,2014,2,2,1,1
MICHIGAN,2014,2,2,0,0
MINNESOTA,2014,2,2,0,0
MISSISSIPPI,2014,2,2,0,0
MISSOURI,2014,2,2,1,1
MONTANA,2014,2,2,0,0
NEBRASKA,2014,2,2,0,0
NEVADA,2014,2,2,8,16
NEW HAMPSHIRE,2014,2,2,0,0
NEW JERSEY,2014,2,2,0,0
NEW MEXICO,2014,2,2,0,0
NEW YORK,2014,2,2,4,4
NORTH CAROLINA,2014,2,2,13,13
NORTH DAKOTA,2014,2,2,0,0
OHIO,2014,2,2,0,0
OKLAHOMA,2014,2,2,0,0
OREGON,2014,2,2,0,1
PENNSYLVANIA,2014,2,2,5,7
RHODE ISLAND,2014,2,2,0,0
SOUTH CAROLINA,2014,2,2,0,3
SOUTH DAKOTA,2014,2,2,0,0
TENNESSEE,2014,2,2,1,2
TEXAS,2014,2,2,11,18
UTAH,2014,2,2,0,0
VERMONT,2014,2,2,0,0
VIRGINIA,2014,2,2,2,5
WASHINGTON,2014,2,2,4,6
WEST VIRGINIA,2014,2,2,0,0
WISCONSIN,2014,2,2,0,0
WYOMING,2014,2,2,0,0
ALABAMA,2014,3,3,0,1
ALASKA,2014,3,3,0,0
ARIZONA,2014,3,3,0,0
ARKANSAS,2014,3,3,0,5
CALIFORNIA,2014,3,3,18,43
COLORADO,2014,3,3,0,0
CONNECTICUT,2014,3,3,0,0
DELAWARE,2014,3,3,2,3
FLORIDA,2014,3,3,4,16
GEORGIA,2014,3,3,22,46
HAWAII,2014,3,3,0,0
IDAHO,2014,3,3,0,0
ILLINOIS,2014,3,3,0,0
INDIANA,2014,3,3,0,1
IOWA,2014,3,3,0,0
KANSAS,2014,3,3,0,0
KENTUCKY,2014,3,3,5,7
LOUISIANA,2014,3,3,2,2
MAINE,2014,3,3,0,0
MARYLAND,2014,3,3,0,8
MASSACHUSETTS,2014,3,3,0,1
MICHIGAN,2014,3,3,0,0
MINNESOTA,2014,3,3,0,0
MISSISSIPPI,2014,3,3,0,0
MISSOURI,2014,3,3,0,1
MONTANA,2014,3,3,0,0
NEBRASKA,2014,3,3,0,0
NEVADA,2014,3,3,7,23
NEW HAMPSHIRE,2014,3,3,0,0
NEW JERSEY,2014,3,3,0,0
NEW MEXICO,2014,3,3,1,1
NEW YORK,2014,3,3,4,8
NORTH CAROLINA,2014,3,3,0,13
NORTH DAKOTA,2014,3,3,0,0
OHIO,2014,3,3,0,0
OKLAHOMA,2014,3,3,0,0
OREGON,2014,3,3,1,2
PENNSYLVANIA,2014,3,3,4,11
RHODE ISLAND,2014,3,3,0,0
SOUTH CAROLINA,2014,3,3,6,9
SOUTH DAKOTA,2014,3,3,0,0
TENNESSEE,2014,3,3,1,3
TEXAS,2014,3,3,0,18
UTAH,2014,3,3,1,1
VERMONT,2014,3,3,0,0
VIRGINIA,2014,3,3,0,5
WASHINGTON,2014,3,3,6,12
WEST VIRGINIA,2014,3,3,0,0
WISCONSIN,2014,3,3,0,0
WYOMING,2014,3,3,0,0
ALABAMA,2014,4,4,0,1
